po_line_id,po_id,material_id,quantity,unit_price,line_total,delivery_date,line_status
POL001,PO001,MAT001,500,175.00,87500.00,2026-03-14,In Transit
POL002,PO002,MAT002,500,220.00,110000.00,2026-03-13,In Transit
POL003,PO003,MAT003,500,400.00,200000.00,2026-03-12,In Transit
POL004,PO004,MAT004,1000,45.00,45000.00,2026-03-14,In Transit
POL005,PO005,MAT005,500,75.00,37500.00,2026-03-13,In Transit
POL006,PO006,MAT011,250,200.00,50000.00,2026-03-14,In Transit
POL007,PO007,MAT012,250,130.00,32500.00,2026-03-13,In Transit
POL008,PO008,MAT013,500,85.00,42500.00,2026-03-12,In Transit
POL009,PO009,MAT006,500,120.00,60000.00,2026-03-14,In Transit
POL010,PO010,MAT007,500,110.00,55000.00,2026-03-13,In Transit
POL011,PO011,MAT003,100,408.00,40800.00,2026-03-04,Delivered
POL012,PO012,MAT008,80,80.00,6400.00,2026-03-07,In Transit
POL013,PO013,MAT001,120,180.00,21600.00,2026-03-09,In Transit
POL014,PO014,MAT013,150,90.00,13500.00,2026-03-11,In Transit
POL015,PO015,MAT004,200,46.00,9200.00,2026-03-14,Confirmed
